transaction_id,amount,transaction_type,country,is_international,account_age_days,num_prev_transactions,device_trusted,fraud
1,46.93,pos,FR,1,570,544,0,0
2,301.01,pos,UK,1,3826,371,1,0
3,131.67,withdrawal,US,0,618,714,1,0
4,91.29,online,CN,1,4170,693,0,0
5,16.96,online,IN,0,2027,184,1,0
6,16.96,pos,FR,1,4797,261,1,0
7,5.98,pos,FR,0,3974,668,1,0
8,201.12,withdrawal,FR,1,4054,787,1,0
9,91.91,pos,FR,0,1041,328,0,0
10,123.13,pos,US,0,695,329,0,0
11,2.08,online,UK,0,531,559,0,0
12,350.36,pos,DE,0,2583,728,0,0
13,178.64,online,FR,0,214,203,0,0
14,23.87,pos,IN,0,1789,694,0,0
15,20.07,withdrawal,FR,0,440,361,0,0
16,20.26,pos,CN,1,579,109,1,0
17,36.28,pos,US,0,2630,333,0,0
18,74.39,withdrawal,UK,0,1782,560,1,0
19,56.55,withdrawal,IN,0,897,844,0,0
20,34.42,withdrawal,IN,1,390,809,0,0
21,94.64,withdrawal,US,0,2803,455,1,0
22,15.02,withdrawal,IN,1,860,944,1,0
23,34.55,pos,UK,0,1621,356,0,0
24,45.63,withdrawal,UK,0,700,16,0,0
25,60.89,pos,UK,1,4583,588,1,0
26,153.79,pos,US,1,4447,709,0,0
27,22.27,withdrawal,US,0,4554,518,0,0
28,72.2,online,FR,0,1809,733,1,0
29,89.75,pos,UK,0,1707,36,1,0
30,4.76,online,UK,1,3958,193,1,0
31,93.53,withdrawal,IN,1,696,465,1,0
32,18.7,withdrawal,FR,0,2105,482,1,0
33,6.73,withdrawal,DE,0,1744,622,0,0
34,297.37,pos,FR,1,3568,619,1,0
35,337.06,online,FR,0,355,992,1,0
36,165.23,pos,CN,1,3554,216,0,0
37,36.33,withdrawal,UK,1,1236,609,1,0
38,10.28,online,FR,0,4081,354,0,0
39,115.28,online,UK,0,1163,533,0,0
40,58.01,withdrawal,DE,0,495,370,1,0
41,13.02,withdrawal,IN,0,1418,340,1,0
42,68.35,withdrawal,US,0,4094,805,1,0
43,3.5,pos,IN,0,1448,564,1,0
44,240.04,online,DE,1,3030,153,0,0
45,29.95,online,UK,1,3259,960,0,0
46,108.63,online,DE,0,1086,895,1,0
47,37.35,pos,DE,0,2387,191,1,0
48,73.41,pos,DE,0,4363,797,1,1
49,79.12,pos,UK,0,3100,783,1,0
50,20.44,pos,IN,1,3860,799,0,0
51,349.28,pos,UK,0,3278,533,0,0
52,149.22,online,CN,0,339,572,0,0
53,280.51,pos,US,0,2964,136,1,0
54,225.22,withdrawal,FR,1,4454,293,1,0
55,91.11,withdrawal,DE,1,1168,429,0,0
56,254.94,withdrawal,US,1,1693,524,0,0
57,9.27,online,CN,0,1489,535,0,0
58,21.81,withdrawal,CN,0,2062,163,0,0
59,4.63,online,CN,1,4762,117,0,0
60,39.35,withdrawal,CN,0,4792,634,1,1
61,49.21,pos,CN,1,1757,30,0,0
62,31.66,withdrawal,US,1,3309,403,1,0
63,176.46,withdrawal,DE,0,1602,46,1,0
64,44.12,online,FR,1,628,847,0,0
65,32.98,online,CN,1,251,950,1,0
66,78.24,pos,FR,0,3615,813,1,0
67,15.19,withdrawal,FR,1,519,822,0,0
68,162.05,withdrawal,UK,1,4322,576,0,0
69,7.75,withdrawal,UK,1,4537,232,0,0
70,433.41,pos,US,0,425,52,0,0
71,147.95,pos,IN,0,906,355,0,0
72,22.15,pos,FR,0,4571,267,0,0
73,0.55,online,IN,1,1422,163,0,0
74,168.99,online,CN,0,1437,470,0,0
75,122.71,pos,US,0,568,422,0,0
76,130.57,online,FR,0,1621,917,0,0
77,147.52,online,UK,0,221,390,1,0
78,7.69,pos,DE,1,1645,888,0,0
79,44.39,online,CN,0,798,632,1,0
80,12.32,online,IN,1,3337,509,0,0
81,198.85,pos,FR,1,1873,73,1,0
82,97.63,pos,FR,0,4394,974,0,0
83,40.18,pos,CN,1,4538,206,0,0
84,6.57,withdrawal,FR,0,4747,711,1,0
85,37.25,pos,DE,0,282,88,0,1
86,39.33,withdrawal,DE,1,227,197,0,0
87,130.79,online,FR,1,1756,595,0,0
88,101.49,withdrawal,US,1,4821,249,1,0
89,218.23,pos,IN,1,4548,536,1,0
90,63.91,online,CN,1,2388,378,1,0
91,12.74,pos,FR,1,1117,445,0,0
92,124.91,online,CN,0,1563,763,1,0
93,143.04,online,UK,1,2480,154,1,0
94,82.39,online,UK,0,740,689,0,0
95,147.39,withdrawal,US,1,4569,591,0,1
96,68.08,pos,IN,0,2521,161,0,0
97,73.97,withdrawal,US,0,4974,272,0,0
98,55.78,pos,UK,1,1141,379,1,0
99,2.57,online,UK,1,4361,521,0,0
100,11.42,withdrawal,CN,1,438,688,0,0
101,3.19,withdrawal,UK,0,1615,957,1,0
102,101.17,withdrawal,DE,0,171,176,0,0
103,37.74,online,UK,1,2415,18,0,0
104,71.04,online,US,0,2993,714,1,0
105,238.13,pos,FR,1,4430,589,1,0
106,28.67,pos,IN,0,3946,562,1,1
107,52.83,pos,US,1,468,253,1,0
108,140.87,online,IN,0,2957,169,0,0
109,25.98,online,DE,0,1973,820,0,0
110,8.01,withdrawal,CN,0,1616,716,0,0
111,34.21,online,FR,1,3588,219,0,0
112,17.58,withdrawal,DE,1,1484,84,1,0
113,265.5,withdrawal,DE,0,3430,901,0,0
114,165.09,withdrawal,US,1,3655,611,0,0
115,100.35,online,FR,1,1160,585,0,0
116,205.15,pos,FR,0,2614,63,1,0
117,162.8,withdrawal,UK,0,1421,185,1,0
118,20.65,online,DE,1,2045,73,0,0
119,223.08,pos,DE,0,4223,601,0,0
120,77.51,online,IN,1,3292,331,0,0
121,164.73,online,UK,0,2170,13,1,0
122,226.42,pos,UK,0,4041,550,0,0
123,38.27,withdrawal,FR,1,3812,647,1,0
124,11.66,withdrawal,CN,0,356,677,0,0
125,25.87,withdrawal,DE,1,4279,743,1,0
126,55.71,pos,UK,1,4440,191,1,0
127,170.38,pos,IN,0,1614,600,0,0
128,197.13,online,DE,0,2821,425,1,0
129,0.7,pos,FR,0,3972,446,0,0
130,71.49,pos,UK,1,2471,738,0,0
131,54.03,pos,UK,1,464,250,1,0
132,25.12,withdrawal,US,1,913,20,0,0
133,12.77,online,DE,0,2785,192,0,0
134,41.19,online,FR,1,685,920,1,0
135,286.31,pos,FR,0,495,27,0,0
136,39.04,online,UK,0,2911,763,1,0
137,73.15,online,IN,1,1768,234,1,0
138,121.41,online,DE,1,2654,19,1,0
139,45.2,online,FR,0,448,411,1,0
140,356.78,online,FR,0,1092,427,1,0
141,328.2,withdrawal,US,1,4709,780,1,0
142,29.01,online,DE,1,4791,591,1,0
143,68.77,pos,DE,1,1768,89,1,0
144,35.79,withdrawal,DE,0,4540,721,1,0
145,33.52,online,DE,0,2431,5,1,0
146,3.76,pos,FR,1,3653,182,1,0
147,94.05,withdrawal,UK,0,45,884,0,0
148,69.85,withdrawal,US,1,166,839,1,0
149,5.29,withdrawal,IN,1,399,149,1,0
150,32.66,online,FR,0,3238,833,1,0
151,238.89,pos,DE,1,2624,858,1,0
152,27.39,online,US,0,2773,538,1,0
153,15.65,online,UK,1,4746,423,1,0
154,67.23,pos,CN,1,1027,437,1,0
155,424.4,online,CN,1,441,415,1,0
156,27.71,online,IN,1,1778,947,0,0
157,111.52,pos,DE,0,3541,280,0,0
158,143.39,withdrawal,UK,1,3957,636,1,0
159,27.13,withdrawal,FR,0,4669,943,1,0
160,130.27,withdrawal,IN,1,1422,308,0,0
161,45.85,online,DE,0,4350,775,1,0
162,100.05,online,IN,0,1152,500,0,0
163,100.38,pos,UK,1,3783,600,0,0
164,76.74,online,DE,1,225,45,1,0
165,9.46,pos,DE,1,1512,899,1,0
166,180.36,withdrawal,UK,1,1808,486,0,0
167,38.68,pos,CN,0,3140,639,1,1
168,20.64,withdrawal,US,0,4251,835,0,0
169,4.16,withdrawal,UK,0,1415,683,0,0
170,89.38,online,US,0,3268,888,0,0
171,113.19,online,FR,0,1233,508,1,0
172,1.67,withdrawal,DE,1,1309,202,1,0
173,71.76,withdrawal,CN,1,1600,919,0,0
174,25.68,pos,UK,0,3621,926,0,0
175,103.61,pos,IN,1,616,558,0,0
176,19.16,online,IN,1,632,150,1,0
177,117.42,withdrawal,DE,1,2631,889,1,0
178,48.9,online,IN,0,2003,356,1,0
179,276.03,pos,IN,1,2388,947,0,0
180,14.79,online,IN,0,1151,1,1,0
181,41.71,withdrawal,DE,0,1610,859,1,1
182,12.04,withdrawal,UK,0,126,872,0,0
183,258.62,withdrawal,DE,1,2127,24,0,0
184,209.83,withdrawal,DE,1,2013,876,0,0
185,29.83,withdrawal,US,1,4754,649,0,0
186,107.88,pos,US,0,4764,365,0,0
187,169.95,online,US,0,2717,332,1,0
188,81.01,online,CN,0,2389,157,1,0
189,75.43,online,US,1,200,145,1,0
190,27.69,pos,US,1,3544,862,1,0
191,9.77,pos,UK,0,462,210,0,0
192,227.51,online,US,1,4884,851,1,0
193,230.68,online,CN,1,3154,688,0,0
194,100.27,pos,FR,1,2486,54,1,0
195,41.4,online,FR,0,3652,49,1,0
196,42.96,online,CN,1,3742,904,1,0
197,129.45,withdrawal,DE,0,688,914,0,0
198,227.41,pos,DE,0,2303,545,0,0
199,218.11,online,FR,0,4122,992,1,0
200,151.36,pos,FR,0,2430,578,0,0
201,102.73,online,UK,0,495,150,1,0
202,8.79,online,FR,1,4054,867,0,0
203,17.63,withdrawal,IN,1,1192,158,0,0
204,228.82,pos,CN,0,2614,269,1,0
205,93.25,withdrawal,FR,1,3319,305,0,0
206,0.92,withdrawal,US,0,2662,575,0,0
207,10.7,online,CN,1,4561,193,1,0
208,108.92,pos,UK,1,86,588,0,0
209,0.51,online,IN,0,2801,596,0,0
210,17.53,pos,UK,0,1309,98,0,0
211,79.57,withdrawal,FR,1,2642,799,0,0
212,117.73,withdrawal,US,1,169,143,0,0
213,105.54,pos,DE,1,3866,898,1,0
214,25.39,pos,IN,0,1543,151,0,0
215,124.54,online,US,1,3850,664,1,0
216,27.08,withdrawal,US,0,238,125,1,0
217,39.36,withdrawal,UK,0,2685,43,0,0
218,137.24,pos,CN,0,377,500,0,0
219,104.88,pos,FR,1,1427,513,0,0
220,189.2,withdrawal,DE,0,3906,306,0,0
221,107.18,online,US,1,3666,426,1,0
222,84.0,online,CN,0,1384,981,1,0
223,9.84,online,DE,0,4750,111,1,0
224,45.84,pos,DE,0,3269,801,1,0
225,30.82,pos,US,1,1655,373,1,0
226,27.97,withdrawal,DE,0,2775,660,1,0
227,361.23,withdrawal,US,0,2204,964,1,0
228,49.94,pos,US,1,3031,18,1,0
229,222.61,online,UK,1,2917,919,1,0
230,99.73,withdrawal,UK,0,1346,497,0,0
231,158.38,pos,CN,0,170,420,1,0
232,69.84,online,UK,1,2238,234,1,0
233,86.02,pos,UK,0,2203,655,0,0
234,67.83,pos,IN,0,923,133,0,0
235,21.72,online,US,0,2832,437,0,0
236,128.18,withdrawal,CN,1,4420,654,0,0
237,32.96,online,CN,1,1042,981,1,0
238,2.46,pos,FR,1,1852,730,1,0
239,103.7,online,IN,1,1733,660,1,0
240,19.49,online,FR,1,3606,52,0,0
241,282.11,pos,DE,0,2104,260,1,0
242,307.76,withdrawal,FR,0,4946,476,1,0
243,246.35,pos,UK,1,2806,836,0,0
244,46.23,pos,UK,0,139,541,1,0
245,1.56,online,US,0,1495,760,0,0
246,263.55,pos,UK,1,1234,841,1,0
247,55.89,online,DE,1,4184,781,1,0
248,340.08,online,UK,0,1644,77,1,0
249,331.37,pos,UK,1,2416,720,1,0
250,191.74,withdrawal,CN,0,2269,515,1,0
251,34.88,withdrawal,US,0,2379,262,0,0
252,48.63,online,FR,0,2667,280,0,0
253,190.47,online,US,0,133,8,0,0
254,38.11,online,IN,0,2450,110,0,0
255,18.57,withdrawal,CN,0,650,525,1,0
256,81.37,pos,US,1,1054,234,0,0
257,275.13,pos,US,1,2802,957,1,0
258,119.08,withdrawal,CN,0,2488,149,0,0
259,84.41,withdrawal,CN,0,4207,570,1,0
260,10.22,pos,DE,1,1063,337,1,0
261,95.45,online,IN,0,1942,906,0,0
262,461.06,withdrawal,IN,0,2310,935,1,0
263,15.09,pos,IN,0,3568,94,1,0
264,73.05,withdrawal,FR,0,4850,9,0,1
265,209.86,pos,FR,1,253,824,1,0
266,135.0,online,FR,1,416,942,0,0
267,119.41,online,UK,1,4497,12,1,0
268,121.23,withdrawal,CN,0,4927,54,0,0
269,44.55,withdrawal,UK,0,3930,482,1,0
270,34.76,withdrawal,US,0,1939,984,0,0
271,165.74,online,UK,1,138,421,1,0
272,166.13,withdrawal,CN,0,1477,86,0,0
273,201.8,withdrawal,DE,0,241,714,1,0
274,244.46,pos,CN,0,2474,414,0,0
275,71.61,pos,FR,0,2927,333,0,0
276,69.62,online,DE,0,3037,636,0,0
277,160.09,online,US,0,1500,48,1,0
278,104.97,pos,CN,0,3674,626,1,0
279,121.06,online,DE,0,3244,148,1,0
280,158.86,withdrawal,FR,0,2540,476,1,0
281,220.73,withdrawal,US,0,3296,68,1,0
282,41.25,online,IN,1,1390,763,1,0
283,47.09,withdrawal,DE,1,4192,272,0,0
284,9.87,pos,UK,0,2305,843,0,0
285,86.34,withdrawal,CN,0,306,716,0,0
286,3.66,pos,FR,1,4313,126,0,0
287,62.66,pos,IN,0,3637,545,0,0
288,78.23,online,DE,1,2902,749,1,0
289,33.76,pos,FR,0,1976,843,0,0
290,89.36,withdrawal,IN,0,1451,714,0,0
291,3.1,pos,CN,0,1381,247,0,0
292,3.81,pos,CN,1,4144,731,0,0
293,172.94,withdrawal,UK,1,1552,335,0,0
294,44.66,pos,DE,1,3445,497,0,0
295,13.59,pos,US,0,3578,89,0,0
296,73.87,withdrawal,CN,0,1721,18,1,0
297,146.96,online,UK,0,324,351,1,1
298,24.31,online,US,0,2981,910,1,1
299,97.52,withdrawal,FR,1,571,83,0,0
300,8.92,withdrawal,UK,1,4697,178,0,0
301,5.31,online,US,0,197,675,0,0
302,75.79,withdrawal,UK,1,55,465,0,0
303,77.79,pos,DE,1,4079,50,1,0
304,101.45,pos,IN,1,2978,822,1,0
305,129.5,pos,FR,0,4376,772,0,0
306,372.36,withdrawal,FR,0,717,108,1,0
307,72.63,online,CN,0,2412,101,1,1
308,39.0,online,UK,1,51,980,1,0
309,158.57,online,DE,1,2795,235,0,0
310,31.59,pos,CN,0,2021,532,0,0
311,57.8,online,FR,0,4674,600,0,0
312,8.17,online,CN,1,4578,509,1,0
313,2.57,withdrawal,IN,0,3381,14,1,0
314,328.74,withdrawal,IN,0,1720,301,0,0
315,180.78,pos,US,1,4994,419,1,0
316,119.06,withdrawal,DE,0,423,738,0,1
317,52.59,withdrawal,IN,0,1612,162,0,0
318,19.03,pos,CN,0,4260,546,0,0
319,17.01,withdrawal,IN,0,2579,107,1,0
320,28.8,pos,CN,0,269,343,1,0
321,79.68,withdrawal,IN,0,355,418,0,0
322,125.38,pos,FR,0,3511,832,1,0
323,107.94,online,US,1,584,80,1,0
324,32.84,online,IN,0,404,586,1,1
325,309.81,online,CN,0,337,922,1,0
326,133.9,online,DE,1,4587,594,1,0
327,80.82,online,UK,0,1303,584,0,0
328,94.6,withdrawal,CN,1,3554,104,1,0
329,54.4,withdrawal,UK,0,3216,810,0,0
330,28.47,pos,DE,1,4464,101,1,0
331,44.0,withdrawal,UK,0,832,821,0,0
332,141.82,online,DE,1,3955,617,0,0
333,1.45,online,DE,1,1574,230,0,0
334,12.34,withdrawal,IN,1,1882,967,0,0
335,4.71,withdrawal,UK,1,2679,116,0,0
336,4.16,online,FR,1,1119,94,0,0
337,193.42,withdrawal,US,1,3621,482,1,0
338,121.62,online,FR,1,1991,153,1,1
339,64.28,online,IN,1,1927,876,0,0
340,10.3,pos,UK,0,4713,317,0,0
341,67.65,online,DE,1,1333,976,0,0
342,64.15,pos,FR,1,684,955,1,0
343,19.02,withdrawal,FR,0,3093,292,0,0
344,56.89,pos,US,0,3596,448,1,0
345,50.83,withdrawal,UK,0,3189,173,1,0
346,95.67,withdrawal,IN,1,2678,63,1,0
347,100.81,pos,UK,1,2066,201,0,0
348,4.64,withdrawal,CN,0,1670,735,0,0
349,46.94,withdrawal,UK,0,4352,733,1,0
350,98.31,online,FR,0,4440,352,0,0
351,69.94,online,DE,0,4583,874,0,0
352,194.13,online,UK,1,1352,528,0,0
353,107.5,withdrawal,IN,0,4521,725,1,0
354,17.79,pos,CN,0,4098,764,1,0
355,7.32,pos,FR,1,4582,119,0,0
356,102.84,withdrawal,US,1,1749,627,0,1
357,2.69,pos,IN,0,2370,931,1,0
358,88.13,withdrawal,IN,0,895,876,0,0
359,281.73,online,UK,0,3563,495,1,0
360,85.68,withdrawal,US,0,3509,164,1,0
361,49.13,pos,US,1,1975,169,0,0
362,103.08,pos,US,1,3906,318,1,0
363,61.3,online,DE,0,1508,21,1,0
364,78.88,pos,DE,0,1971,520,1,0
365,283.81,withdrawal,DE,1,3600,937,1,0
366,48.79,pos,FR,0,3298,990,0,0
367,324.91,online,IN,0,667,607,0,0
368,235.76,withdrawal,FR,1,704,610,1,0
369,21.79,withdrawal,CN,0,1084,688,1,0
370,7.19,withdrawal,US,1,1165,210,0,0
371,10.62,online,CN,1,4477,355,0,0
372,1.84,pos,IN,0,809,266,1,0
373,9.92,pos,IN,0,1132,470,1,1
374,114.89,online,IN,1,3727,651,0,0
375,7.38,withdrawal,DE,0,4794,361,0,0
376,38.42,online,DE,0,2507,195,1,0
377,186.35,pos,CN,0,1086,542,0,0
378,2.35,online,DE,1,2542,885,1,0
379,168.45,online,IN,0,438,188,0,0
380,33.11,pos,DE,0,4629,157,1,0
381,12.58,pos,CN,1,3191,718,0,0
382,119.32,withdrawal,IN,0,3432,221,0,1
383,99.14,online,UK,0,1175,261,0,0
384,209.94,withdrawal,CN,1,4494,23,1,0
385,132.83,withdrawal,US,0,1616,446,0,0
386,162.7,pos,CN,0,3558,461,0,0
387,33.13,pos,FR,1,1399,585,1,0
388,19.53,online,UK,1,620,857,0,0
389,138.88,withdrawal,FR,0,3158,165,0,0
390,164.42,online,US,0,452,410,1,0
391,465.7,pos,US,1,1155,886,0,0
392,53.21,online,FR,0,3534,842,1,0
393,46.52,withdrawal,DE,1,2794,285,1,0
394,149.8,pos,UK,0,4850,101,0,0
395,41.67,online,CN,0,1593,132,1,0
396,267.01,online,US,1,2683,480,0,0
397,195.48,pos,UK,1,3633,849,0,0
398,56.04,withdrawal,UK,1,978,475,0,0
399,138.98,pos,FR,1,3885,657,1,0
400,140.46,pos,CN,1,2758,148,1,1
401,10.88,pos,UK,0,909,403,0,0
402,232.84,withdrawal,IN,0,975,361,1,0
403,70.37,pos,IN,1,3962,409,0,0
404,175.13,withdrawal,US,1,3587,51,0,0
405,38.57,pos,DE,1,3196,501,0,0
406,225.88,online,FR,1,3231,515,0,0
407,49.3,withdrawal,CN,1,3752,965,0,0
408,1.09,pos,CN,1,3132,328,1,0
409,235.79,withdrawal,US,0,1564,364,1,0
410,9.57,withdrawal,CN,0,1877,35,0,0
411,38.47,online,UK,0,3973,676,0,0
412,299.7,online,CN,1,2491,196,0,0
413,300.79,withdrawal,IN,0,3434,675,1,0
414,85.2,online,US,0,4421,778,1,0
415,99.92,online,UK,1,1538,931,0,0
416,59.5,withdrawal,FR,1,3402,621,0,0
417,34.7,online,FR,1,2539,442,0,0
